1952;33825
1953;38431
1954;35670
1955;29300
1956;22198
1957;29350
1958;25984
1959;27079
1960;27889
1961;28665
1962;29343
1963;26008
1964;29457
1965;30124
1966;30691
1967;35025
1968;30643
1969;37094
1970;37424
1971;41783
1972;40581
1973;40572
1974;40665
1975;41723
1976;39216
1977;38602
1978;36944
1979;38802
1980;34963
1981;35404
1982;36351
1983;31236
1984;26169
1985;26785
1986;29024
1987;28941
1988;27847
1989;25687
1990;21597
1991;16912
1992;15024
1993;15754
1994;20886
1995;19528
1996;18353
1997;20756
1998;19444
1999;19778
2000;23010
2001;24673
2002;22188
2003;22677
2004;29075
2005;30800
2006;32730
2007;31223
2008;24921
2009;18281
2010;20148
2011;27507
2012;28983
2013;29772
2014;26234
2015;29991
2016;35074
2017;34486
2018;31235
2019;30160
2020;29287
2021;29534
2022;29494
2023;22004
2024;18365
2025;19725
;
;
Updated:;
Building permits. Dwelling units:;
20260129 08:00;
;
Source:;
Statistics Norway;
;
Contact:;
Building permits. Dwelling units:;
Magnus Espeland, Statistics Norway;
 +47 45 27 40 08;
epd@ssb.no;
;
Jens Mathiesen, Statistics Norway;
 +47 40 81 13 98;
jma@ssb.no;
;
;
;
;
Units:;
Building permits. Dwelling units:;
dwelling units;
Data type:;
Building permits. Dwelling units:;
Flow;
;
Reference period:;
Building permits. Dwelling units;
31.12.;
;
;
;
;
;
Official statistics;
;
Database:;
External PROD;
;
Internal reference code:;
Antall3;
