observation_date,WPU132_PCH
1956-01-01,4.54821
1957-01-01,4.08933
1958-01-01,2.28476
1959-01-01,0.98066
1960-01-01,1.32182
1961-01-01,0.10650
1962-01-01,0.39894
1963-01-01,-0.15894
1964-01-01,-0.29185
1965-01-01,0.53220
1966-01-01,0.50291
1967-01-01,2.02792
1968-01-01,3.14920
1969-01-01,3.40340
1970-01-01,5.49371
1971-01-01,8.25877
1972-01-01,4.02628
1973-01-01,3.46303
1974-01-01,13.30971
1975-01-01,15.95135
1976-01-01,8.25716
1977-01-01,6.65836
1978-01-01,9.40947
1979-01-01,12.07592
1980-01-01,12.26715
1981-01-01,8.17385
1982-01-01,4.57556
1983-01-01,1.10009
1984-01-01,3.93207
1985-01-01,3.22811
1986-01-01,0.89128
1987-01-01,0.92910
1988-01-01,1.38836
1989-01-01,1.04934
