observation_date,WSCNDW01NOA489S
1960-01-01,2340.58333333333
1961-01-01,2404.58333333333
1962-01-01,2462.41666666667
1963-01-01,2174.91666666667
1964-01-01,2406.58333333333
1965-01-01,2512.83333333333
1966-01-01,2567.41666666667
1967-01-01,2934.00000000000
1968-01-01,2561.83333333333
1969-01-01,3116.00000000000
1970-01-01,3359.33333333333
1971-01-01,3719.50000000000
1972-01-01,3615.91666666667
1973-01-01,3609.83333333333
1974-01-01,3653.33333333333
1975-01-01,3625.00000000000
1976-01-01,3368.25000000000
1977-01-01,3321.16666666667
1978-01-01,3170.66666666667
1979-01-01,3333.75000000000
1980-01-01,3006.66666666667
1981-01-01,3015.33333333333
1982-01-01,3100.83333333333
1983-01-01,2625.58333333333
1984-01-01,2190.08333333333
1985-01-01,2241.08333333333
1986-01-01,2432.66666666667
1987-01-01,2426.25000000000
1988-01-01,2345.58333333333
1989-01-01,2184.33333333333
1990-01-01,1819.16666666667
1991-01-01,1438.41666666667
1992-01-01,1300.00000000000
1993-01-01,1324.00000000000
1994-01-01,1748.08333333333
1995-01-01,1643.41666666667
1996-01-01,1522.33333333333
1997-01-01,1731.66666666667
1998-01-01,1615.00000000000
1999-01-01,1692.00000000000
2000-01-01,1955.00000000000
2001-01-01,2090.75000000000
2002-01-01,1869.50000000000
2003-01-01,1873.91666666667
2004-01-01,2455.50000000000
2005-01-01,2634.00000000000
2006-01-01,2730.16666666667
2007-01-01,2700.16666666667
2008-01-01,2159.75000000000
2009-01-01,1631.33333333333
2010-01-01,1773.16666666667
2011-01-01,2311.25000000000
2012-01-01,2511.83333333333
2013-01-01,2521.00000000000
2014-01-01,2260.83333333333
2015-01-01,2577.25000000000
2016-01-01,3044.16666666667
2017-01-01,2941.16666666667
2018-01-01,2627.25000000000
2019-01-01,2647.83333333333
2020-01-01,2494.25000000000
2021-01-01,2510.50000000000
2022-01-01,2488.66666666667
